# r_h, RA, DEC
3.17,00 24 05.67,-72 04 52.6
2.23,00 52 45.24,-26 34 57.4
0.82,01 03 14.26,-70 50 55.6
0.22,02 02 57, -03 15 10
0.68,03 12 16.21,-55 12 58.4
0.46,03 33 20.04,+79 34 51.8
0.41,03 55 02.3, -49 36 55
0.46,04 24 44.5, -21 11 13
0.50,04 46 05.91,+31 22 53.4
0.51,05 14 06.76,-40 02 47.6
0.65,05 24 11.09,-24 31 29.0
0.98,06 48 59.41,-36 00 19.1
0.89,07 38 08.47,+38 52 56.8
0.21,07 58 17.0, +26 15 18
0.80,09 12 03.10,-64 51 48.6
2.10,09 20 57.07,-77 16 54.8
0.65,10 05 31.9, +00 04 18
3.10,10 17 36.82,-46 24 44.9
0.51,11 29 16.80,+28 58 24.9
0.26,11 59 18.5, +12 15 36
0.48,12 10 06.30,+18 32 33.5
3.91,12 25 45.40,-72 39 32.4
1.05,12 38 40.2, -51 09 01
1.51,12 39 27.98,-26 44 38.6
2.41,12 59 33.92,-70 52 35.4
1.31,13 12 55.25,+18 10 05.4
2.61,13 16 27.09,+17 42 00.9
5.00,13 26 47.24,-47 28 46.5
2.31,13 42 11.62,+28 22 38.2
0.73,13 46 26.81,-51 22 27.3
0.43,13 56 21.7, -27 10 03
2.30,14 05 27.29,+28 32 04.0
0.86,14 29 37.23,-05 58 35.1
0.40,14 39 36.29,-26 32 20.2
1.71,15 00 18.45,-82 12 49.3
0.45,15 03 58.63,-33 04 05.6
2.73,15 16 05.25,-00 06 41.8
2.06,15 17 24.50,-21 00 37.0
1.77,15 18 33.22,+02 04 51.7
1.10,15 28 00.69,-50 40 22.9
0.89,15 35 28.52,-50 39 34.8
0.90,15 39 07.45,-50 03 09.8
0.98,15 46 03.00,-37 47 11.1
1.20,16 11 03.65,-55 19 04.0
1.22,16 11 00.6, +14 57 28
0.61,16 17 02.41,-22 58 33.9
4.33,16 23 35.22,-26 31 32.7
1.05,16 25 48.12,-72 12 07.9
1.63,16 27 13.86,-26 01 24.6
0.85,16 27 40.37,-38 50 55.5
1.25,16 28 40.08,-35 21 12.5
1.73,16 32 31.86,-13 03 13.6
0.50,16 39 25.45,-28 23 55.3
1.69,16 41 41.24,+36 27 35.5
0.36,16 46 58.79,+47 31 39.9
1.77,16 47 14.18,-01 56 54.7
0.34,16 52 10.6, -47 03 29
1.00,16 53 25.31,-22 10 38.8
1.95,16 57 09.05,-04 06 01.1
0.86,16 59 32.62,-37 07 17.0
1.10,16 59 51.0, -00 32 20
0.92,17 01 12.80,-30 06 49.4
1.32,17 02 37.80,-26 16 04.7
0.66,17 04 28.51,-24 45 53.5
0.74,17 05 09.13,-22 42 30.1
0.89,17 10 10.20,-26 34 55.5
1.42,17 14 32.25,-29 27 43.3
0.65,17 16 37.30,-28 08 24.4
1.02,17 17 07.39,+43 08 09.4
0.63,17 17 59.21,-23 45 57.6
0.96,17 19 11.26,-18 30 57.4
0.73,17 21 10.08,-19 35 14.7
0.81,17 23 34.93,-17 48 46.9
0.88,17 23 58.59,-26 21 12.3
2.05,17 25 29.11,-48 25 19.8
1.40,17 27 08.5, -07 05 35
1.52,17 27 33.10,-30 48 08.4
2.92,17 27 44.24,-05 04 47.5
1.85,17 30 39.00,-31 35 43.9
3.10,17 31 05.2, -29 58 54
2.05,17 31 54.99,-67 02 54.0
0.74,17 34 28.0, -39 04 09
3.82,17 35 47.8, -30 28 11
1.30,17 36 10.5, -38 33 12
0.52,17 36 17.23,-44 44 07.8
1.30,17 37 36.10,-03 14 45.3
1.91,17 38 36.60,-23 54 34.2
2.90,17 40 42.09,-53 40 27.6
1.20,17 43 42.2, -26 13 21
0.92,17 44 54.65,+03 10 12.5
1.59,17 47 28.3, -33 03 56
0.72,17 48 04.80,-24 46 45
0.48,17 48 52.70,-20 21 36.9
0.57,17 50 13.06,-37 03 05.2
0.44,17 50 46.38,-31 16 31.4
0.44,17 50 51.70,-34 35 57.0
1.02,17 59 03.68,-44 15 57.4
0.78,18 01 38.8, -26 50 23
1.05,18 01 49.1, -27 49 33
0.50,18 01 50.52,-08 57 31.6
1.55,18 03 36.4, -26 04 21
1.00,18 03 34.02,-30 02 02.3
0.85,18 03 50.51,-00 17 51.5
0.38,18 04 49.64,-30 03 22.6
1.70,18 04 49.68,-07 35 09.1
1.21,18 07 20.58,-24 59 50.4
1.06,18 08 02.36,-43 42 53.6
1.65,18 08 21.81,-19 49 47
1.05,18 09 06.0, -46 25 23
1.03,18 09 17.60,-25 54 31.3
0.55,18 09 36.50,-20 46 44
2.15,18 10 17.60,-31 45 50.0
2.38,18 10 44.20,-07 12 27.4
0.75,18 12 15.8, -22 44 31
0.80,18 13 38.80,-31 49 36.8
0.55,18 14 06.6, -28 38 06
0.73,18 18 37.60,-52 12 56.8
0.82,18 23 40.51,-30 21 39.7
1.97,18 24 32.81,-24 52 11.2
0.51,18 30 56.10,-25 29 50.9
0.84,18 31 23.10,-32 20 53.1
0.73,18 31 54.10,-23 28 30.7
0.48,18 35 45.63,-32 59 26.6
3.36,18 36 23.94,-23 54 17.1
0.58,18 41 29.9, -19 49 33
0.71,18 43 12.76,-32 17 31.6
0.65,18 48 49.7, -01 29 50
1.33,18 53 04.30,-08 42 22.0
0.82,18 55 03.33,-30 28 47.5
0.68,18 55 06.04,-22 42 05.3
1.53,18 59 33.15,-36 37 56.1
1.10,19 05 15.3, +01 54 03
1.91,19 10 52.11,-59 59 04.4
1.27,19 11 12.01,+01 01 49.7
1.10,19 16 35.57,+30 11 00.5
0.77,19 17 43.92,-34 39 27.8
0.99,19 18 02.1, +18 34 18
1.77,19 28 44.11,-30 21 20.3
2.83,19 39 59.71,-30 57 53.1
0.95,19 41 44.41,-33 59 58.1
1.46,19 45 14.4, -08 00 26
1.67,19 53 46.49,+18 46 45.1
0.46,20 06 04.69,-21 55 16.2
0.69,20 34 11.37,+07 24 16.1
0.93,20 53 27.70,-12 32 14.3
0.44,21 01 29.38,+16 11 14.4
1.00,21 29 58.33,+12 10 01.2
1.06,21 33 27.02,-00 49 23.7
1.03,21 40 22.12,-23 10 47.5
1.72,21 46 38.84,-21 15 09.4
0.36,23 06 44.44,+12 46 19.2
1.15,23 08 26.63,-15 36 41.4
