# ptf_name,ra,dec,field_id,ccd_id,source_id,j_m,j_cmsig,j_msigcom,j_snr,h_m,h_cmsig,h_msigcom,h_snr,k_m,k_cmsig,k_msigcom,k_snr,ph_qual,rd_flg,bl_flg,cc_flg,gal_contam,j_h,h_k,j_k
PTFS1206i,94.5010416,20.528472,3652,10,7389,16.227,0.086,0.086,11.7,15.453,0.121,0.122,9.2,14.752,0.080,0.080,13.5,ABA,222,111,000,0,0.7740,0.7010,1.4750
PTFS1217dk,266.90213,30.08526,4077,8,15293,16.119,0.074,0.075,16.4,15.633,0.106,0.107,10.6,14.710,0.071,0.072,16.1,AAA,222,111,000,0,0.4860,0.9230,1.4090
PTFS1217df,263.25447,37.71996,4338,2,10330,,,,,,,,,,,,,,,,,,,,
PTFS1216bt,243.76014,54.01497,4913,7,13436,,,,,,,,,,,,,,,,,,,,
PTFS1215aj,233.01214,67.80704,5208,7,4457,,,,,,,,,,,,,,,,,,,,
PTFS1213ap,198.75050,71.84244,5241,2,157,,,,,,,,,,,,,,,,,,,,
PTFS1212ak,181.67757,-19.33813,100051,10,7488,,,,,,,,,,,,,,,,,,,,
PTFS1203am,53.94082,-4.31365,100090,7,2070,16.591,0.132,0.132,10.6,15.860,0.123,0.123,9.6,15.067,0.133,0.133,9.1,BBB,222,111,000,0,0.7310,0.7930,1.5240
PTFS1217ce,259.02841,47.73992,4721,8,3208,,,,,,,,,,,,,,,,,,,,
# GALAXY PTFS1219ad,293.37546,45.2503,4657,8,36834,15.767,0.073,0.074,17.8,15.031,0.083,0.083,14.5,14.446,0.093,0.094,13.1,AAA,222,111,000,0,0.7360,0.5850,1.3210
