species,j,k,eta,sigma_mu
0.00000,16.16524,0.57413,1.60906,0.00562
0.00000,20.46379,0.23587,1.94154,0.00087
0.00000,-16.79555,0.52211,2.47585,0.00718
0.00000,14.52654,0.25498,1.52417,0.00675
0.00000,-1.05650,0.94613,2.65977,0.00622
0.00000,642.24377,0.10381,1.87679,0.00055
0.00000,-4.69199,0.45695,3.55358,0.01198
0.00000,33.70638,0.52662,1.70103,0.00440
0.00000,0.15489,4.03823,3.05090,0.00182
0.00000,58.84549,0.12708,2.02387,0.00080
0.00000,-2.73199,0.41174,3.77841,0.00745
0.00000,-11.87895,0.55196,3.07923,0.00624
0.00000,7.45915,0.51303,1.88374,0.00656
0.00000,-11.36513,0.61654,2.47543,0.00629
0.00000,40.64104,0.45550,1.89229,0.00284
0.00000,-7.70604,0.42826,3.71274,0.01520
0.00000,-0.97908,0.33958,2.75306,0.00252
0.00000,28.07738,0.50475,1.77739,0.00318
0.00000,9.87327,0.59628,1.92316,0.00282
0.00000,3.00848,0.59626,1.61507,0.00431
0.00000,-3.66547,0.68146,3.38791,0.00436
0.00000,51.63201,0.44738,1.76860,0.00338
0.00000,49.34678,0.43040,1.48344,0.00298
0.00000,-5.09056,0.59540,2.33641,0.00664
0.00000,35.51372,0.51973,1.89650,0.00261
0.00000,36.62109,0.48613,1.30363,0.00346
0.00000,-3.43945,0.38878,2.50567,0.00649
0.00000,-9.57273,0.51756,2.09125,0.00522
0.00000,31.68883,0.49114,1.79626,0.00276
0.00000,1466.92102,0.07167,1.97549,0.00051
0.00000,-2.13924,0.52706,2.01651,0.00854
0.00000,19.37355,0.45741,1.93342,0.00118
0.00000,-0.10878,0.78300,1.71259,0.00659
0.00000,22.29863,0.55539,2.09209,0.00136
0.00000,4.25853,0.43181,1.91941,0.00957
0.00000,11.95103,0.53941,1.55514,0.00079
0.00000,1.60078,0.42945,1.87642,0.00589
0.00000,-0.66449,0.68476,3.01734,0.00516
0.00000,56.01758,0.38579,1.77544,0.00393
0.00000,12.86518,0.64020,1.90320,0.00113
0.00000,16.10834,0.50140,1.70120,0.00673
0.00000,-3.32658,0.50424,4.33453,0.00634
0.00000,45.64523,0.55413,2.00799,0.00059
0.00000,99.04858,0.33171,1.70020,0.00089
0.00000,18.73714,0.48693,1.81895,0.00605
0.00000,0.36505,0.58119,1.70007,0.00296
0.00000,20.35830,0.52622,1.46817,0.00796
0.00000,-4.06393,0.63821,2.48153,0.00765
0.00000,103.94305,0.40432,1.81170,0.00083
0.00000,8.59065,0.58691,1.65637,0.00653
0.00000,-0.79466,0.50443,2.07882,0.00762
0.00000,21.10729,0.40396,2.07659,0.00362
0.00000,4.46629,0.56312,1.92707,0.00666
0.00000,-0.08393,0.47267,1.29480,0.00985
0.00000,-0.75193,0.61219,2.98071,0.00484
0.00000,41.15718,0.42602,1.52917,0.00108
0.00000,258.49606,0.28957,1.40506,0.00084
0.00000,1.89062,0.59952,2.31261,0.00374
0.00000,195.84773,0.13135,1.26623,0.00132
0.00000,10.50282,0.56364,1.96239,0.00169
0.00000,59.42607,0.25690,2.06958,0.00032
0.00000,14.84855,0.57842,1.68517,0.00200
0.00000,8.45853,0.55863,2.15049,0.00592
0.00000,-4.37029,0.38718,1.87111,0.01327
0.00000,2.98184,0.66446,1.84589,0.00651
0.00000,-2.21208,0.60597,1.77425,0.00495
0.00000,107.94720,0.38643,1.99884,0.00094
0.00000,5.34837,0.58551,1.61456,0.00560
0.00000,-1.30238,0.54406,2.32264,0.00726
0.00000,30.45891,0.49833,2.12013,0.00289
0.00000,48.89339,0.44604,2.18655,0.00278
0.00000,-0.93406,0.85772,2.34007,0.00460
0.00000,51.56494,0.44748,1.66447,0.00447
0.00000,-1.57824,0.50579,3.63310,0.01294
0.00000,24.46369,0.54527,1.62192,0.00273
0.00000,33.90028,0.47851,1.90385,0.00355
0.00000,-3.52010,0.77319,3.92488,0.00854
0.00000,11.96863,0.54054,2.19194,0.00277
0.00000,20.05530,0.58135,1.70134,0.00334
0.00000,1.12597,0.51976,1.89405,0.01195
0.00000,23.37486,0.55577,1.85813,0.00158
0.00000,16.20276,0.63258,1.86240,0.00265
0.00000,10.62160,0.51986,1.70029,0.00912
0.00000,25.17475,0.56042,1.49750,0.00217
0.00000,15.11730,0.53591,2.16317,0.00239
0.00000,18.60746,0.35638,1.80314,0.00813
0.00000,27.89262,0.49795,2.24730,0.00174
0.00000,-17.15630,0.56184,2.22487,0.00473
0.00000,47.79131,0.55093,1.50065,0.00072
0.00000,14.52751,0.37025,1.65304,0.00878
0.00000,20.73718,0.46629,2.13263,0.00362
0.00000,-2.48577,0.40589,2.78581,0.01243
0.00000,4.35515,0.57217,1.91519,0.00461
0.00000,-0.98010,0.89935,3.50912,0.00574
0.00000,884.50317,0.11577,2.00554,0.00038
0.00000,3.57668,0.55322,1.95827,0.00647
0.00000,20.31264,0.37509,1.81176,0.00583
0.00000,9.80371,0.43922,1.96120,0.00869
0.00000,265.37973,0.24558,1.77568,0.00073
0.00000,23.31384,0.54840,1.76070,0.00473
0.00000,13.22863,0.57666,2.06883,0.00421
0.00000,32.35321,0.54406,1.49997,0.00106
0.00000,45.46353,0.15125,1.82541,0.00044
0.00000,8.15034,0.49253,1.83210,0.00635
0.00000,-6.49175,0.36277,2.91522,0.01199
0.00000,45.21090,0.43101,1.64408,0.00195
0.00000,61.70906,0.20541,2.20587,0.00086
0.00000,-7.59003,0.46611,2.12971,0.01055
0.00000,234.44699,0.25369,1.96092,0.00061
0.00000,1.42894,0.56079,1.96378,0.00866
0.00000,51.75770,0.28625,1.42433,0.00599
0.00000,35.77569,0.50889,1.46562,0.00310
0.00000,12.61787,0.50620,1.49798,0.00563
0.00000,63.77365,0.42022,1.96992,0.00143
0.00000,191.21019,0.24756,1.31406,0.00061
0.00000,-4.52987,0.74096,2.16961,0.00855
0.00000,29.25854,0.44797,1.86785,0.00367
0.00000,69.16544,0.41285,1.71096,0.00312
0.00000,6.87154,0.66820,1.82023,0.00334
0.00000,24.34352,0.51147,1.56063,0.00783
0.00000,31.98567,0.46293,2.22681,0.00238
0.00000,-5.18351,0.52407,2.37792,0.00944
0.00000,2.98640,0.61544,1.19998,0.00672
0.00000,34.02669,0.40579,1.87886,0.00104
0.00000,35.12833,0.35480,1.30644,0.00069
0.00000,10.79905,0.47175,1.72081,0.00234
0.00000,8.14871,0.54253,1.30176,0.00846
0.00000,29.93347,0.71337,1.35209,0.00115
0.00000,15.08607,0.56506,1.73664,0.00299
0.00000,-5.86320,0.61004,2.29783,0.01017
0.00000,14.59463,0.45910,1.69602,0.00585
0.00000,-3.19089,0.71886,2.33361,0.00773
0.00000,32.38635,0.53836,2.25893,0.00051
0.00000,26.44203,0.46684,1.57134,0.00453
0.00000,-5.67926,0.72458,2.20600,0.00429
0.00000,2.52054,0.67448,2.26324,0.00838
0.00000,26.71556,0.56278,1.67550,0.00363
0.00000,1.23055,0.45948,1.78132,0.00820
0.00000,18.84470,0.50756,2.02585,0.00119
0.00000,-3.23484,0.53125,1.91625,0.01154
0.00000,13.40998,0.58108,1.92527,0.00358
0.00000,107.08851,0.40779,1.95047,0.00138
0.00000,3.26403,0.51225,1.40236,0.01140
0.00000,9.28811,0.44248,1.83999,0.00918
0.00000,12.91198,0.49318,1.32781,0.00462
0.00000,225.69362,0.08797,2.33290,0.00048
0.00000,19.03456,0.44898,1.90747,0.00508
0.00000,-2.61224,0.63301,1.95923,0.00623
0.00000,11.58356,0.53583,2.07636,0.00323
0.00000,24.66423,0.71599,1.90291,0.00044
0.00000,31.13637,0.52100,2.00699,0.00316
0.00000,0.86326,0.64611,2.12769,0.00600
0.00000,0.74489,0.93753,1.39810,0.00502
0.00000,44.17766,0.42714,1.50224,0.00225
0.00000,-0.36718,0.92143,4.49935,0.00024
0.00000,28.54759,0.59863,1.66003,0.00565
0.00000,21.57332,0.54899,2.08384,0.00173
0.00000,12.00257,0.57115,1.86034,0.00472
0.00000,22.29477,0.52284,1.62555,0.00279
0.00000,-0.86867,0.63928,2.35801,0.00818
0.00000,6.67347,0.51938,1.73987,0.00584
0.00000,34.22538,0.24499,1.90194,0.00877
0.00000,-0.87169,0.51229,2.06254,0.00655
0.00000,-5.45148,0.58061,1.92780,0.00843
0.00000,216.18709,0.35325,1.27990,0.00033
0.00000,52.64080,0.47782,1.93447,0.00176
0.00000,-4.88522,0.56066,2.92281,0.00448
0.00000,0.63663,0.70561,1.64732,0.00665
0.00000,-1.72704,0.50141,2.25544,0.00689
0.00000,11.46333,0.37452,2.16688,0.01021
0.00000,-0.67524,0.55326,3.25241,0.00450
0.00000,57.66962,0.46044,2.04144,0.00175
0.00000,-0.50977,0.54769,2.23636,0.00650
0.00000,-1.13904,0.59465,1.65439,0.00502
0.00000,1.93438,0.73515,2.68591,0.00328
0.00000,8.22669,0.57504,1.75284,0.00883
0.00000,38.12265,0.48020,1.59245,0.00239
0.00000,-11.51374,0.65760,2.87868,0.00614
0.00000,3.30918,0.53333,2.03984,0.00789
0.00000,50.55087,0.44362,1.72195,0.00162
0.00000,44.18124,0.47136,1.68538,0.00078
0.00000,49.31451,0.28682,2.33252,0.00104
0.00000,4.86866,0.49415,2.17506,0.00533
0.00000,23.76744,0.57338,1.64402,0.00439
0.00000,3.56410,0.46284,1.71874,0.00738
0.00000,-12.29124,0.19538,2.26139,0.01578
0.00000,-3.73676,0.17320,2.13353,0.00529
0.00000,0.25174,0.78389,1.38090,0.00415
