#  Name       RA      DEC       l       b     Epoch    RA_decimal   DEC_decimal    l_decimal     b_decimal  Prefix No
BLG533     17:52:00    -27:23:05       2:03:15    -00:24:19   2000.0    17.8666667   -27.3847222     2.0542343    -0.4054008   BLG 533
BLG534     17:51:48    -31:04:35     358:51:17     -2:14:57   2000.0    17.8633333   -31.0763889   358.8547195    -2.2492526   BLG 534
BLG535     17:51:44    -32:18:25     357:47:14     -2:51:48   2000.0    17.8622222   -32.3069444   357.7871087    -2.8632178   BLG 535
BLG536     17:57:30    -36:36:50     354:38:41     -6:02:57   2000.0    17.9583333   -36.6138889   354.6448382    -6.0490347   BLG 536
BLG537     17:57:30    -37:50:40     353:33:60     -6:39:14   2000.0    17.9583333   -37.8444444   353.5666424    -6.6540140   BLG 537
BLG538     17:57:30    -39:04:30     352:29:09     -7:15:24   2000.0    17.9583333   -39.0750000   352.4857924    -7.2566524   BLG 538
BLG539     18:03:30    -35:59:55     355:46:40     -6:48:20   2000.0    18.0583333   -35.9986111   355.7777456    -6.8055472   BLG 539
BLG540     18:03:36    -37:13:45     354:41:58     -7:24:49   2000.0    18.0600000   -37.2291667   354.6994108    -7.4135666   BLG 540
BLG541     18:03:42    -38:27:35     353:37:04     -8:01:06   2000.0    18.0616667   -38.4597222   353.6177831    -8.0184134   BLG 541
BLG542     18:13:47    -21:13:55       9:51:12     -1:41:14   2000.0    18.2297222   -21.2319444     9.8533645    -1.6873443   BLG 542
BLG543     18:13:47    -22:27:45       8:46:18     -2:16:31   2000.0    18.2297222   -22.4625000     8.7716308    -2.2751606   BLG 543
BLG544     18:13:47    -23:41:35       7:41:20     -2:51:44   2000.0    18.2297222   -23.6930556     7.6890154    -2.8621661   BLG 544
BLG545     18:13:47    -24:55:25       6:36:19     -3:26:53   2000.0    18.2297222   -24.9236111     6.6052914    -3.4481503   BLG 545
BLG546     18:14:39    -32:18:25       0:09:11     -7:05:34   2000.0    18.2441667   -32.3069444     0.1529931    -7.0928000   BLG 546
BLG547     18:14:52    -33:32:15     359:04:29     -7:42:13   2000.0    18.2477778   -33.5375000   359.0748283    -7.7036851   BLG 547
BLG548     18:15:07    -34:46:05     357:59:46     -8:19:01   2000.0    18.2519444   -34.7680556   357.9961166    -8.3168170   BLG 548
