# Event	Field	Star No	RA (J2000)	Dec (J2000)	Tmax (HJD)	Tmax (UT)	tau	Umin	Amax
2011-BLG-0001	BLG500.01	 129412	17:54:00.05	-29:06:06.0	2455644.193	2011-03-23.69	52.050	0.123	8.163
2011-BLG-0002	BLG500.08	 102027	17:54:44.93	-28:54:13.5	2455608.966	2011-02-16.47	20.035	0.189	5.369
2011-BLG-0003	BLG501.07	 52013	17:49:39.07	-30:27:08.4	2455611.212	2011-02-18.71	34.101	0.644	1.784
2011-BLG-0004	BLG501.15	 61522	17:49:38.40	-29:52:52.3	2455637.915	2011-03-17.41	38.853	0.174	5.817
2011-BLG-0005	BLG501.18	 118373	17:54:04.34	-29:48:47.7	2455593.759	2011-02-01.26	85.986	0.155	6.504
2011-BLG-0006	BLG501.27	 111319	17:53:16.13	-29:29:35.3	2455611.925	2011-02-19.43	38.615	0.166	6.095
2011-BLG-0007	BLG504.02	 112872	17:58:51.48	-28:34:36.9	2455628.113	2011-03-07.61	34.180	0.702	1.675
2011-BLG-0008	BLG505.01	 79297	17:59:47.22	-29:38:14.1	2455609.500	2011-02-17.00	27.466	0.064	15.53
2011-BLG-0009	BLG505.10	 187936	17:58:43.24	-29:26:11.3	2455607.328	2011-02-14.83	134.331	0.014	72.95
2011-BLG-0010	BLG505.21	 161357	17:57:30.03	-28:58:08.6	2455601.160	2011-02-08.66	114.964	0.012	85.39
2011-BLG-0011	BLG506.08	 113128	18:00:16.53	-30:32:02.3	2455605.100	2011-02-12.60	19.568	0.820	1.508
2011-BLG-0012	BLG506.30	 149907	17:56:28.38	-30:04:30.4	2455631.961	2011-03-11.46	35.380	0.259	3.960
2011-BLG-0013	BLG506.31	 97366	17:56:01.78	-30:05:12.8	2455606.721	2011-02-14.22	33.007	0.344	3.038
2011-BLG-0014	BLG511.03	 130900	18:03:41.18	-27:45:42.6	2455612.384	2011-02-19.88	21.681	0.508	2.154
2011-BLG-0015	BLG511.08	 178639	18:05:30.99	-27:25:59.9	2455595.247	2011-02-02.75	20.838	0.785	1.551
