# Cluster_name, RA, Dec, l,b,Dist,Mod,EB-V,Age,ST,Z,Diam,Fe_H,MRV,pm_RA,pm_Dec
NGC 2627,08 37 15,-29 57 18,251.583,6.651,2034,11.81,0.086,8.566,,235.6,8.0,,,,
ESO 456-05,17 53 02,-29 53 36,0.009,-1.877,,,,,,,0.8,,,,
NGC 2533,08 07 04,-29 53 00,247.800,1.310,3379,12.79,0.047,8.876,,77.3,5.0,,,,
NGC 6360,17 24 27,-29 52 18,356.728,3.130,,,,,,,5.0,,,,
Czernik 32,07 50 30,-29 51 00,245.890,-1.732,4100,15.70,0.85,9.00,,-120,3.0,,,,
Blanco 1,00 04 07,-29 50 00,15.572,-79.261,269,7.18,0.010,7.796,B5,-264.3,70.0,+0.23,,+20.17,+3.00
ESO 430-09,08 02 24,-29 46 36,247.168,0.512,,,,,,,0.8,,,,
NGC 2571,08 18 56,-29 45 00,249.106,3.532,1342,11.06,0.137,7.488,B8,82.7,8.0,,,-3.86,+6.40
BH 245,17 46 16,-29 42 00,359.421,-0.518,1000,16.97,2.25,7.17,,-9.0,1.0,,,,
Ruprecht 129,17 47 18,-29 37 00,359.609,-0.667,,,,,,,4.0,,,,
ESO 456-72,18 12 29,-29 34 36,2.360,-5.402,,,,,,,1.4,,,,
Ruprecht 2,06 41 01,-29 33 00,238.774,-15.075,,,,,,,3.0,,,,
Ruprecht 134,17 52 43,-29 33 00,0.270,-1.643,3400,14.21,0.50,9.00,,-97.5,5.0,,,,
Dutra-Bica 16,17 53 58,-29 31 42,0.427,-1.867,,,,,,,0.7,,,,
NGC 2587,08 23 25,-29 30 30,249.459,4.472,2700,14.57,0.10,8.70,,210.5,2.0,,,-4.30,-2.50
Haffner 7,07 22 55,-29 30 00,242.673,-6.804,,,0.10,8.00,,,3.0,,,,
Trumpler 26,17 28 33,-29 30 00,357.524,2.840,,,,,,,6.0,,,,
Ruprecht 3,06 42 07,-29 27 00,238.776,-14.815,,,,,,,3.0,,,,
ESO 447-29,14 37 27,-29 24 42,329.060,28.027,,,,,,,12.0,,,,
ESO 442-04,12 34 05,-29 24 36,298.409,33.309,,,,,,,11.0,,,,
Dutra-Bica 25,17 58 55,-29 23 42,1.083,-2.732,,,,,,,0.7,,,,
Dutra-Bica 13,17 55 21,-29 23 24,0.699,-2.057,,,,,,,0.7,,,,
ESO 437-61,10 48 03,-29 23 24,273.062,26.230,,,,,,,5.0,,,,
ESO 464-09,20 59 37,-29 23 12,15.924,-39.435,,,,,,,4.0,,,,
ESO 425-15,06 14 35,-29 22 30,236.371,-20.356,,,,,,,6.0,,,,
Collinder 347,17 46 18,-29 20 00,359.738,-0.334,1514,14.50,1.16,7.08,,-8.8,10.0,,,,
Terzan-Ju 20,17 33 30,-29 19 24,358.264,2.035,,,,,,,2.0,,,,
Ruprecht 131,17 49 15,-29 15 00, 0.14,-0.84,600,9.20,0.10,9.17,,-8.8,13.2,,,-0.40,-2.41
Dutra-Bica 14,17 54 39,-29 13 36,0.763,-1.843,,,,,,,0.8,,,,
Dutra-Bica 3,17 50 12,-29 12 18,0.287,-0.996,,,,,,,0.8,,,,
ESO 436-02,10 14 03,-29 11 24,266.207,22.238,,,,,,,5.0,,,,
Ruprecht 22,07 29 18,-29 11 00,243.043,-5.426,,,,,,,3.0,,,,
ESO 425-06,06 04 50,-29 10 54,235.395,-22.287,,,,,,,6.0,,,,
Collinder 187,08 24 13,-29 10 00,249.277,4.811,,,,,,,5.0,,,,
NGC 6476,17 54 02,-29 08 42,0.805,-1.704,,,,,,,,,,,
Dutra-Bica 24,17 55 30,-29 01 36,1.029,-1.902,,,,,,,0.9,,,,
ESO 435-09,09 55 33,-28 59 12,262.719,19.834,,,,,,,14.0,,,,
Ruprecht 43,07 59 16,-28 53 59,246.06,0.39,1300,11.41,0.27,8.47,,8.8,18.0,,,-3.57,-0.08
Dutra-Bica 10,17 50 18,-28 53 42,0.565,-0.856,,,,,,,0.6,,,,
Dutra-Bica 7,17 50 06,-28 53 12,0.549,-0.814,,,,,,,0.8,,,,
Dutra-Bica 11,17 50 24,-28 53 06,0.584,-0.869,,,,,,,1.0,,,,
Dutra-Bica 8,17 50 05,-28 52 42,0.555,-0.806,,,,,,,0.7,,,,
Dutra-Bica 12,17 50 16,-28 51 42,0.590,-0.832,,,,,,,0.8,,,,
Dutra-Bica 58,17 45 00,-28 51 36,359.994,0.155,,,,,,,0.9,,,,
Ruprecht 20,07 26 43,-28 49 00,242.451,-5.752,1208,10.72,0.10,8.50,,-121.1,5.0,,,,
Dutra-Bica 15,17 51 57,-28 48 54,0.818,-1.125,,,,,,,0.7,,,,
Dutra-Bica 4,17 47 06,-28 46 54,0.300,-0.197,,,,,,,0.6,,,,
Dutra-Bica 6,17 47 10,-28 46 24,0.315,-0.205,,,,,,,0.7,,,,
Dutra-Bica 5,17 47 07,-28 46 06,0.314,-0.193,,,,,,,0.4,,,,
Collinder 351,17 49 00,-28 44 09,0.555,-0.529,1310,12.76,0.70,8.20,,-12.1,7.0,,,,
Ruprecht 133,17 52 29,-28 40 00,1.005,-1.150,,,,,,,5.0,,,,
BH 261,18 14 05,-28 38 00,3.360,-5.264,,,,,,,1.5,,,,
Dutra-Bica 30,17 56 56,-28 37 18,1.537,-1.970,,,,,,,0.7,,,,
NGC 5998,15 49 34,-28 35 18,343.817,19.809,,,,,,,4.0,,,,
Ruprecht 44,07 58 51,-28 35 00,245.746,0.482,4730,15.29,0.619,6.941,,39.8,10.0,,,-2.86,+1.13
Dutra-Bica 32,17 59 35,-28 33 18,1.885,-2.441,,,,,,,0.9,,,,
ASCC 87,17 02 59,-28 27 00,355.15,8.02,900,10.58,0.26,8.52,,125.6,66.0,,,+0.89,-2.79
Ruprecht 168,17 52 46,-28 26 00,1.238,-1.085,820,12.86,1.06,9.30,,-15.5,4.0,,,,
Ruprecht 150,07 05 55,-28 25 00,240.015,-9.647,,,,,,,2.0,,,,
Haffner 14,07 44 51,-28 22 00,243.986,-2.050,,,,,,,10.0,,,,
ESO 435-48,10 09 35,-28 21 30,264.820,22.289,,,,,,,4.0,,,,
Dutra-Bica 28,17 53 29,-28 20 54,1.391,-1.178,,,,,,,1.6,,,,
Ruprecht 12,07 07 19,-28 13 11,239.97,-9.29,900,9.93,0.05,7.56,,-145.3,20.4,,,-3.77,+01.34
ESO 429-02,07 33 23,-28 11 12,242.591,-4.164,,,,,,,5.0,,,,
