wavelength flux
3491.33739756 1.1348e-13
3493.36010442 -4.04428e-15
3495.38281127 -1.22896e-13
3497.40551813 -1.67503e-13
3499.42822498 -1.4105e-13
3501.45093184 -9.65134e-14
3503.47363869 -8.17995e-14
3505.49634555 -1.19666e-13
3507.5190524 -2.1823e-13
3509.54175926 -2.30214e-13
3511.56446611 3.87013e-14
3513.58717297 4.905e-13
3515.60987983 7.65198e-13
3517.63258668 6.48134e-13
3519.65529354 3.94782e-13
3521.67800039 2.6886e-13
3523.70070725 2.32286e-13
3525.7234141 1.67532e-13
3527.74612096 6.04945e-14
3529.76882781 -4.55048e-15
3531.79153467 8.33896e-15
3533.81424152 -1.01277e-14
3535.83694838 -1.60349e-13
3537.85965523 -2.97609e-13
3539.88236209 -2.07248e-13
3541.90506894 1.52623e-13
3543.9277758 6.69572e-13
3545.95048265 1.13419e-12
3547.97318951 1.16609e-12
3549.99589636 5.18618e-13
3552.01860322 -2.20651e-13
3554.04131007 -2.96573e-13
3556.06401693 1.57664e-13
3558.08672378 4.43842e-13
3560.10943064 2.28914e-13
3562.13213749 -1.00551e-13
3564.15484435 -2.28159e-13
3566.1775512 -3.28476e-13
3568.20025806 -6.02316e-13
3570.22296491 -8.25659e-13
3572.24567177 -6.43194e-13
3574.26837862 -1.28922e-13
3576.29108548 2.2861e-13
3578.31379233 1.83208e-13
3580.33649919 2.81848e-15
3582.35920604 -9.3128e-14
3584.3819129 -1.43794e-13
3586.40461975 -1.9936e-13
3588.42732661 -2.47946e-13
3590.45003346 -2.7249e-13
3592.47274032 -2.66149e-13
3594.49544717 -2.02164e-13
3596.51815403 -6.86864e-14
3598.54086088 9.73468e-14
3600.56356774 2.5072e-13
3602.58627459 3.02198e-13
3604.60898145 1.82411e-13
3606.6316883 1.5513e-14
3608.65439516 2.67703e-15
3610.67710201 1.51644e-13
3612.69980887 2.66748e-13
3614.72251572 2.43561e-13
3616.74522258 1.99858e-13
3618.76792943 2.43717e-13
3620.79063629 3.26549e-13
3622.81334314 3.8062e-13
3624.83605 3.79702e-13
3626.85875685 3.05628e-13
3628.88146371 1.90377e-13
3630.90417056 1.13708e-13
3632.92687742 1.23177e-13
3634.94958427 1.89176e-13
3636.97229113 2.45018e-13
3638.99499798 2.1239e-13
3641.01770484 8.39872e-14
3643.04041169 -1.12869e-14
3645.06311855 3.37696e-14
3647.0858254 1.25187e-13
3649.10853226 1.00601e-13
3651.13123911 4.77987e-15
3653.15394597 3.54742e-14
3655.17665282 1.98922e-13
3657.19935968 2.26211e-13
3659.22206653 1.82579e-14
3661.24477339 -1.273e-13
3663.26748024 -2.87878e-14
3665.2901871 6.25247e-14
3667.31289395 -5.91185e-14
3669.33560081 -2.0867e-13
3671.35830766 -1.74843e-13
3673.38101452 -4.08527e-14
3675.40372137 2.75129e-14
3677.42642823 5.61502e-14
3679.44913508 1.70405e-13
3681.47184194 3.31957e-13
3683.49454879 3.52383e-13
3685.51725565 2.03312e-13
3687.5399625 8.95543e-14
3689.56266936 1.23721e-13
3691.58537621 2.17477e-13
3693.60808307 2.86004e-13
3695.63078992 3.27963e-13
3697.65349678 3.64472e-13
3699.67620363 3.21908e-13
3701.69891049 1.16509e-13
3703.72161734 -9.63455e-14
3705.7443242 -1.0444e-13
3707.76703105 2.82135e-14
3709.78973791 1.14954e-13
3711.81244476 1.35855e-13
3713.83515162 1.80773e-13
3715.85785847 2.1936e-13
3717.88056533 1.1135e-13
3719.90327218 -8.03755e-14
3721.92597904 -3.65258e-14
3723.94868589 2.79847e-13
3725.97139275 4.47907e-13
3727.9940996 2.73125e-13
3730.01680646 3.7579e-14
3732.03951331 -2.37568e-14
3734.06222017 1.15634e-13
3736.08492702 3.70561e-13
3738.10763388 4.84656e-13
3740.13034073 3.22447e-13
3742.15304759 9.24177e-14
3744.17575444 -7.24601e-15
3746.1984613 4.10417e-14
3748.22116815 1.88548e-13
3750.24387501 3.0642e-13
3752.26658186 3.04961e-13
3754.28928872 2.60335e-13
3756.31199557 2.45707e-13
3758.33470243 1.8392e-13
3760.35740928 -6.32871e-15
3762.38011614 -1.96009e-13
3764.40282299 -1.88477e-13
3766.42552985 -1.29101e-14
3768.44823671 1.61522e-13
3770.47094356 2.16791e-13
3772.49365042 1.10646e-13
3774.51635727 -5.14851e-14
3776.53906413 -1.04202e-13
3778.56177098 -4.76722e-14
3780.58447784 2.65309e-14
3782.60718469 5.79345e-14
3784.62989155 -1.56646e-14
3786.6525984 -1.37732e-13
3788.67530526 -1.31163e-13
3790.69801211 -1.41305e-14
